+-----+--------------------------------------------+-----------------------------------------+------------+----------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  ID | Registry name                              | Biome name                              | BiomeType  | BiomeDictionary.Type                                           | Spawns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 116 | byg:reddesert                              | Red Desert                              | DESERT     | DRY, HOT, OVERWORLD, SANDY                                     | { betteranimalsplus:tarantula [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 117 | byg:reddesertdunes                         | Red Dunes                               |            | DRY, HOT, OVERWORLD, SANDY                                     | { betteranimalsplus:tarantula [weight: 40, min: 1, max: 3] }; { minecraft:husk [weight: 160, min: 10, max: 10] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 118 | byg:redoakforest                           | Red Oak Forest                          | WARM       | FOREST, OVERWORLD                                              | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                      |
| 119 | byg:red_rock_mountains                     | Red Rock Mountains                      | DESERT     | DRY, HOT, MOUNTAIN, OVERWORLD                                  | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 95, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:lammergeier [weight: 7, min: 1, max: 2] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { mubble:toad [weight: 10, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| 120 | byg:seasonalbirchforest                    | Seasonal Birch Forest                   | COOL       | COLD, FOREST, OVERWORLD                                        | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 121 | byg:seasonaldeciduousforest                | Seasonal Deciduous Forest               | COOL       | FOREST, OVERWORLD                                              | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                      |
| 122 | byg:seasonalforest                         | Seasonal Forest                         | COOL       | COLD, FOREST, OVERWORLD                                        | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| 123 | byg:seasonaltaiga                          | Seasonal Taiga                          | COOL       | COLD, CONIFEROUS, FOREST, OVERWORLD                            | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                             |
| 124 | byg:shatteredglacier                       | Shattered Glacier                       | ICY        | OVERWORLD, SNOWY                                               | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 20, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 80, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:reindeer [weight: 10, min: 1, max: 4] }; { minecraft:polar_bear [weight: 1, min: 1, max: 2] }; { minecraft:rabbit [weight: 10, min: 2, max: 3] }; { minecraft:snow_golem [weight: 1, min: 1, max: 2] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 125 | byg:shrublands                             | Shrublands                              | DESERT     | DRY, OVERWORLD, PLAINS, SPARSE                                 | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 3] }; { minecraft:horse [weight: 5, min: 2, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 126 | byg:skyrishighlands                        | Skyris Highlands                        | COOL       | COLD, CONIFEROUS, MOUNTAIN, OVERWORLD                          | { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:lammergeier [weight: 7, min: 1, max: 2] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| 127 | minecraft:the_void                         | The Void                                |            | VOID                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 128 | byg:snowybluetaiga                         | Snowy Blue Taiga                        | ICY        | COLD, CONIFEROUS, FOREST, OVERWORLD                            | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 80, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                           |
| 129 | minecraft:sunflower_plains                 | Sunflower Plains                        |            | OVERWORLD, PLAINS, RARE                                        | { explorercraft:skeletaur [weight: 70, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 3] }; { minecraft:horse [weight: 5, min: 2, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mubble:toad [weight: 10, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 130 | minecraft:desert_lakes                     | Desert Lakes                            |            | DRY, HOT, OVERWORLD, RARE, SANDY                               | { betteranimalsplus:tarantula [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| 131 | minecraft:gravelly_mountains               | Gravelly Mountains                      |            | MOUNTAIN, OVERWORLD, RARE, SPARSE                              | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:lammergeier [weight: 7, min: 1, max: 2] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:llama [weight: 5, min: 4, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 132 | minecraft:flower_forest                    | Flower Forest                           |            | FOREST, HILLS, OVERWORLD, RARE                                 | { explorercraft:skeletaur [weight: 70, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:lammergeier [weight: 7, min: 1, max: 2] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                           |
| 133 | minecraft:taiga_mountains                  | Taiga Mountains                         |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, OVERWORLD, RARE            | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:lammergeier [weight: 7, min: 1, max: 2] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                              |
